service_id,date,exception_type
0201ML44831710455861,20140123,2
0201ML44831710455861,20140130,2
0201ML44831710455861,20140203,2
0201ML44831710455861,20140210,2
0201ML44831710455861,20140213,2
0201ML44831720461255,20140127,2
0201ML44831720461255,20140206,2
0201ML44831800478358,20140127,2
0201ML44831800478358,20140206,2
0201ML44831810481201,20140113,2
0201ML44831810481201,20140116,2
0201ML44831810481201,20140120,2
0201ML44831810481201,20140123,2
0201ML44831810481201,20140130,2
0201ML44831810481201,20140203,2
0201ML44831810481201,20140210,2
0201ML44831810481201,20140213,2
0201ML44831820485715,20140127,2
0201ML44831820485715,20140206,2
0201ML44831900502951,20140127,2
0201ML44831900502951,20140206,2
0201ML44831910507301,20140113,2
0201ML44831910507301,20140116,2
0201ML44831910507301,20140120,2
0201ML44831910507301,20140123,2
0201ML44831910507301,20140130,2
0201ML44831910507301,20140203,2
